伝票日付,号数,売番号,船名,船主名,問屋名,漁法名,船籍名,生冷区分,魚種名,単位,単価,個数,数量,金額,消費税,取引日
20120126,30,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1090 ,1,157.2 ,171348 ,8567 ,20120126
20120126,31,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,953 ,1,116.0 ,110548 ,5527 ,20120126
20120126,32,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,717 ,1,103.6 ,74281 ,3714 ,20120126
20120126,33,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,777 ,1,115.0 ,89355 ,4468 ,20120126
20120126,34,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,939 ,1,97.6 ,91646 ,4582 ,20120126
20120126,35,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,973 ,1,87.0 ,84651 ,4233 ,20120126
20120126,36,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,817 ,1,85.6 ,69935 ,3497 ,20120126
20120126,37,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,949 ,1,88.6 ,84081 ,4204 ,20120126
20120126,38,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,999 ,1,86.2 ,86114 ,4306 ,20120126
20120126,39,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,919 ,1,83.4 ,76645 ,3832 ,20120126
20120126,40,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,370 ,1,83.8 ,31006 ,1550 ,20120126
20120126,41,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1150 ,1,82.8 ,95220 ,4761 ,20120126
20120126,42,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1210 ,1,82.0 ,99220 ,4961 ,20120126
20120126,43,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,935 ,1,86.2 ,80597 ,4030 ,20120126
20120126,44,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1210 ,1,88.0 ,106480 ,5324 ,20120126
20120126,45,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,977 ,1,84.0 ,82068 ,4103 ,20120126
20120126,46,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1030 ,1,76.2 ,78486 ,3924 ,20120126
20120126,47,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,989 ,1,70.2 ,69428 ,3471 ,20120126
20120126,48,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1080 ,1,76.4 ,82512 ,4126 ,20120126
20120126,49,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,877 ,1,71.8 ,62969 ,3148 ,20120126
20120126,50,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,729 ,1,72.4 ,52780 ,2639 ,20120126
20120126,51,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1190 ,1,73.2 ,87108 ,4355 ,20120126
20120126,52,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,883 ,1,73.6 ,64989 ,3249 ,20120126
20120126,53,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,988 ,1,76.4 ,75483 ,3774 ,20120126
20120126,54,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,400 ,1,75.6 ,30240 ,1512 ,20120126
20120126,55,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,778 ,1,76.0 ,59128 ,2956 ,20120126
20120126,56,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,730 ,1,70.6 ,51538 ,2577 ,20120126
20120126,57,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,730 ,1,75.8 ,55334 ,2767 ,20120126
20120126,58,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,818 ,1,75.8 ,62004 ,3100 ,20120126
20120126,59,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1140 ,1,79.6 ,90744 ,4537 ,20120126
20120126,60,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,867 ,1,77.2 ,66932 ,3347 ,20120126
20120126,61,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,160 ,1,71.8 ,11488 ,574 ,20120126
20120126,62,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,857 ,1,72.8 ,62390 ,3120 ,20120126
20120126,63,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,955 ,1,66.6 ,63603 ,3180 ,20120126
20120126,64,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,980 ,1,64.4 ,63112 ,3156 ,20120126
20120126,65,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,789 ,1,61.8 ,48760 ,2438 ,20120126
20120126,66,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,450 ,1,69.4 ,31230 ,1562 ,20120126
20120126,67,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,407 ,1,68.4 ,27839 ,1392 ,20120126
20120126,68,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,450 ,1,64.8 ,29160 ,1458 ,20120126
20120126,69,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,652 ,1,62.6 ,40815 ,2041 ,20120126
20120126,70,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,489 ,1,63.0 ,30807 ,1540 ,20120126
20120126,71,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,797 ,1,61.4 ,48936 ,2447 ,20120126
20120126,72,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,430 ,1,69.8 ,30014 ,1501 ,20120126
20120126,73,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,877 ,1,64.4 ,56479 ,2824 ,20120126
20120126,74,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,913 ,1,61.0 ,55693 ,2785 ,20120126
20120126,75,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,840 ,1,62.6 ,52584 ,2629 ,20120126
20120126,76,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,787 ,1,69.2 ,54460 ,2723 ,20120126
20120126,77,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,787 ,1,63.2 ,49738 ,2487 ,20120126
20120126,78,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,533 ,1,63.6 ,33899 ,1695 ,20120126
20120126,79,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,990 ,1,68.4 ,67716 ,3386 ,20120126
20120126,80,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,879 ,1,68.6 ,60299 ,3015 ,20120126
20120126,81,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,577 ,1,69.4 ,40044 ,2002 ,20120126
20120126,82,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,790 ,1,68.8 ,54352 ,2718 ,20120126
20120126,83,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1470 ,1,60.6 ,89082 ,4454 ,20120126
